2018-11-14 18:10:46 (11093851331810) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-14 18:12:11 (11179266899224) STATS -  5.00, 621, 0, 0.224995, 3.318142, 4.179828, 3.010561, 0.000000, 5.349096, 780, 0, 2329, 0.00, 0.00, 9
2018-11-14 18:12:12 (11179827980096) STATS - SET, 30.2, 0
2018-11-14 18:12:12 (11179828100200) STATS - SET, 30.3, 0
2018-11-14 18:12:12 (11179834927432) STATS - SET, 30.4, 0
2018-11-14 18:12:12 (11179835021235) STATS - SET, 30.5, 0
2018-11-14 18:12:12 (11179835099338) STATS - SET, 30.6, 0
2018-11-14 18:12:12 (11179835175540) STATS - SET, 30.7, 0
2018-11-14 18:12:12 (11179835249743) STATS - SET, 30.8, 0
2018-11-14 18:12:12 (11179835323445) STATS - SET, 30.9, 0
2018-11-14 18:12:12 (11179835398048) STATS - SET, 31.0, 0
2018-11-14 18:12:12 (11179835472351) STATS - SET, 31.1, 0
2018-11-14 18:12:12 (11179835546353) STATS - SET, 31.2, 0
2018-11-14 18:12:12 (11179835619956) STATS - SET, 31.3, 0
2018-11-14 18:12:12 (11179835707059) STATS - SET, 31.4, 0
2018-11-14 18:12:12 (11179835799162) STATS - SET, 31.5, 0
2018-11-14 18:12:12 (11179835879464) STATS - SET, 31.6, 0
2018-11-14 18:12:12 (11179835959267) STATS - SET, 31.7, 0
2018-11-14 18:12:12 (11179836095272) STATS - SET, 31.8, 1
2018-11-14 18:12:12 (11179836285778) STATS - GET, 0.1, 0
2018-11-14 18:12:12 (11179836784195) STATS - GET, 0.2, 0
2018-11-14 18:12:12 (11179837187609) STATS - GET, 0.3, 0
2018-11-14 18:12:12 (11179837276212) STATS - GET, 0.4, 0
2018-11-14 18:12:12 (11179837358415) STATS - GET, 0.5, 0
2018-11-14 18:12:12 (11179837439417) STATS - GET, 0.6, 0
2018-11-14 18:12:12 (11179837523820) STATS - GET, 0.7, 0
2018-11-14 18:12:12 (11179837616023) STATS - GET, 0.8, 0
2018-11-14 18:12:12 (11179837708427) STATS - GET, 0.9, 0
2018-11-14 18:12:12 (11179837785129) STATS - GET, 1.0, 0
2018-11-14 18:12:12 (11179844637362) STATS - GET, 1.1, 0
2018-11-14 18:12:12 (11179844739766) STATS - GET, 1.2, 0
2018-11-14 18:12:12 (11179844810768) STATS - GET, 1.3, 0
2018-11-14 18:12:12 (11179844878970) STATS - GET, 1.4, 0
2018-11-14 18:12:12 (11179844951673) STATS - GET, 1.5, 0
2018-11-14 18:12:12 (11179845027975) STATS - GET, 1.6, 2
2018-11-14 18:12:12 (11179845092678) STATS - GET, 1.7, 48
2018-11-14 18:12:12 (11179845161080) STATS - GET, 1.8, 223
2018-11-14 18:12:12 (11179845226682) STATS - GET, 1.9, 525
2018-11-14 18:12:12 (11179845288884) STATS - GET, 2.0, 990
2018-11-14 18:12:12 (11179845352086) STATS - GET, 2.1, 1311
2018-11-14 18:12:12 (11179845417889) STATS - GET, 2.2, 1710
2018-11-14 18:12:12 (11179845483591) STATS - GET, 2.3, 1828
