Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 58.1, 3
SET, 58.2, 3
SET, 58.3, 5
SET, 58.4, 1
SET, 58.5, 1
SET, 58.6, 0
SET, 58.7, 1
SET, 58.8, 2
SET, 58.9, 3
SET, 59.0, 2
SET, 59.1, 0
SET, 59.2, 3
SET, 59.3, 4
SET, 59.4, 3
SET, 59.5, 5
SET, 59.6, 6
SET, 59.7, 4
SET, 59.8, 2
SET, 59.9, 4
SET, 60.0, 9
SET, 60.1, 6
SET, 60.2, 6
SET, 60.3, 4
SET, 60.4, 4
SET, 60.5, 5
SET, 60.6, 4
SET, 60.7, 2
SET, 60.8, 2
SET, 60.9, 5
SET, 61.0, 3
SET, 61.1, 4
SET, 61.2, 1
SET, 61.3, 2
SET, 61.4, 2
SET, 61.5, 3
SET, 61.6, 2
SET, 61.7, 2
SET, 61.8, 3
SET, 61.9, 3
SET, 62.0, 1
SET, 62.1, 2
SET, 62.2, 4
SET, 62.3, 6
SET, 62.4, 4
SET, 62.5, 3
SET, 62.6, 0
SET, 62.7, 1
SET, 62.8, 4
SET, 62.9, 3
SET, 63.0, 2
SET, 63.1, 2
SET, 63.2, 1
SET, 63.3, 2
SET, 63.4, 1
SET, 63.5, 1
SET, 63.6, 0
SET, 63.7, 0
SET, 63.8, 3
SET, 63.9, 2
SET, 64.0, 0
SET, 64.1, 0
SET, 64.2, 5
SET, 64.3, 5
SET, 64.4, 1
SET, 64.5, 2
SET, 64.6, 8
SET, 64.7, 4
SET, 64.8, 3
SET, 64.9, 4
SET, 65.0, 1
SET, 65.1, 1
SET, 65.2, 4
SET, 65.3, 2
SET, 65.4, 2
SET, 65.5, 2
SET, 65.6, 2
SET, 65.7, 0
SET, 65.8, 0
SET, 65.9, 0
SET, 66.0, 0
SET, 66.1, 0
SET, 66.2, 2
SET, 66.3, 0
SET, 66.4, 0
SET, 66.5, 0
SET, 66.6, 0
SET, 66.7, 0
SET, 66.8, 1
SET, 66.9, 1
SET, 67.0, 0
SET, 67.1, 1
SET, 67.2, 0
SET, 67.3, 2
SET, 67.4, 0
SET, 67.5, 2
SET, 67.6, 1
SET, 67.7, 0
SET, 67.8, 0
SET, 67.9, 0
SET, 68.0, 0
SET, 68.1, 1
SET, 68.2, 0
SET, 68.3, 4
SET, 68.4, 1
SET, 68.5, 3
SET, 68.6, 0
SET, 68.7, 3
SET, 68.8, 0
SET, 68.9, 0
SET, 69.0, 1
SET, 69.1, 0
SET, 69.2, 0
SET, 69.3, 0
SET, 69.4, 0
SET, 69.5, 0
SET, 69.6, 0
SET, 69.7, 0
SET, 69.8, 0
SET, 69.9, 0
SET, 70.0, 0
SET, 70.1, 0
SET, 70.2, 0
SET, 70.3, 0
SET, 70.4, 0
SET, 70.5, 1
SET, 70.6, 1
SET, 70.7, 0
SET, 70.8, 0
SET, 70.9, 1
SET, 71.0, 0
SET, 71.1, 0
SET, 71.2, 0
SET, 71.3, 2
SET, 71.4, 2
SET, 71.5, 1
SET, 71.6, 0
SET, 71.7, 0
SET, 71.8, 0
SET, 71.9, 0
SET, 72.0, 3
SET, 72.1, 0
SET, 72.2, 2
SET, 72.3, 1
SET, 72.4, 0
SET, 72.5, 0
SET, 72.6, 0
SET, 72.7, 3
SET, 72.8, 0
SET, 72.9, 0
SET, 73.0, 0
SET, 73.1, 1
SET, 73.2, 1
SET, 73.3, 1
SET, 73.4, 0
SET, 73.5, 0
SET, 73.6, 0
SET, 73.7, 0
SET, 73.8, 0
