Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 103.3, 3
SET, 103.4, 0
SET, 103.5, 4
SET, 103.6, 5
SET, 103.7, 2
SET, 103.8, 2
SET, 103.9, 2
SET, 104.0, 2
SET, 104.1, 1
SET, 104.2, 3
SET, 104.3, 2
SET, 104.4, 3
SET, 104.5, 1
SET, 104.6, 0
SET, 104.7, 0
SET, 104.8, 1
SET, 104.9, 0
SET, 105.0, 1
SET, 105.1, 0
SET, 105.2, 0
SET, 105.3, 0
SET, 105.4, 0
SET, 105.5, 0
SET, 105.6, 0
SET, 105.7, 0
SET, 105.8, 0
SET, 105.9, 0
SET, 106.0, 0
SET, 106.1, 0
SET, 106.2, 1
SET, 106.3, 0
SET, 106.4, 0
SET, 106.5, 0
SET, 106.6, 0
SET, 106.7, 0
SET, 106.8, 0
SET, 106.9, 0
SET, 107.0, 0
SET, 107.1, 3
SET, 107.2, 1
SET, 107.3, 3
SET, 107.4, 2
SET, 107.5, 1
SET, 107.6, 1
SET, 107.7, 2
SET, 107.8, 2
SET, 107.9, 3
SET, 108.0, 0
SET, 108.1, 2
SET, 108.2, 1
SET, 108.3, 2
SET, 108.4, 5
SET, 108.5, 3
SET, 108.6, 4
SET, 108.7, 3
SET, 108.8, 3
SET, 108.9, 6
SET, 109.0, 2
SET, 109.1, 1
SET, 109.2, 2
SET, 109.3, 0
SET, 109.4, 2
SET, 109.5, 4
SET, 109.6, 0
SET, 109.7, 2
SET, 109.8, 1
