2018-11-20 14:40:20 (3096158428105) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:41:45 (3181554802338) STATS -  5.00, 3782, 76, 19.699389, 1.788661, 21.577400, 21.577400, 0.000000, 0.000000, 18913, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:47 (3183441874728) STATS - SET, 23.4, 564
2018-11-20 14:41:47 (3183442017428) STATS - SET, 23.5, 561
2018-11-20 14:41:47 (3183442122528) STATS - SET, 23.6, 568
2018-11-20 14:41:47 (3183442200528) STATS - SET, 23.7, 577
2018-11-20 14:41:47 (3183442266028) STATS - SET, 23.8, 535
2018-11-20 14:41:47 (3183442339328) STATS - SET, 23.9, 479
2018-11-20 14:41:47 (3183443037628) STATS - SET, 24.0, 457
2018-11-20 14:41:47 (3183443184428) STATS - SET, 24.1, 500
2018-11-20 14:41:47 (3183443262728) STATS - SET, 24.2, 444
2018-11-20 14:41:47 (3183443379628) STATS - SET, 24.3, 431
2018-11-20 14:41:47 (3183443442828) STATS - SET, 24.4, 469
2018-11-20 14:41:47 (3183443503828) STATS - SET, 24.5, 408
2018-11-20 14:41:47 (3183443563828) STATS - SET, 24.6, 387
2018-11-20 14:41:47 (3183443623628) STATS - SET, 24.7, 333
2018-11-20 14:41:47 (3183443684828) STATS - SET, 24.8, 334
2018-11-20 14:41:47 (3183443745428) STATS - SET, 24.9, 332
2018-11-20 14:41:47 (3183443814328) STATS - SET, 25.0, 349
2018-11-20 14:41:47 (3183443871828) STATS - SET, 25.1, 298
2018-11-20 14:41:47 (3183443939228) STATS - SET, 25.2, 318
2018-11-20 14:41:47 (3183444063128) STATS - SET, 25.3, 319
2018-11-20 14:41:47 (3183444128529) STATS - SET, 25.4, 311
2018-11-20 14:41:47 (3183444226229) STATS - SET, 25.5, 265
2018-11-20 14:41:47 (3183444290729) STATS - SET, 25.6, 296
2018-11-20 14:41:47 (3183444363229) STATS - SET, 25.7, 287
2018-11-20 14:41:47 (3183444435629) STATS - SET, 25.8, 271
2018-11-20 14:41:47 (3183444497229) STATS - SET, 25.9, 279
2018-11-20 14:41:47 (3183444567029) STATS - SET, 26.0, 275
2018-11-20 14:41:47 (3183444637629) STATS - SET, 26.1, 241
2018-11-20 14:41:47 (3183444695329) STATS - SET, 26.2, 254
2018-11-20 14:41:47 (3183444777629) STATS - SET, 26.3, 252
2018-11-20 14:41:47 (3183444835529) STATS - SET, 26.4, 222
2018-11-20 14:41:47 (3183451415529) STATS - SET, 26.5, 257
2018-11-20 14:41:47 (3183451546629) STATS - SET, 26.6, 208
2018-11-20 14:41:47 (3183451659229) STATS - SET, 26.7, 250
2018-11-20 14:41:47 (3183451737429) STATS - SET, 26.8, 209
2018-11-20 14:41:47 (3183451812429) STATS - SET, 26.9, 229
2018-11-20 14:41:47 (3183451870929) STATS - SET, 27.0, 208
2018-11-20 14:41:47 (3183451929229) STATS - SET, 27.1, 194
2018-11-20 14:41:47 (3183451988329) STATS - SET, 27.2, 238
2018-11-20 14:41:47 (3183452101729) STATS - SET, 27.3, 227
2018-11-20 14:41:47 (3183452159629) STATS - SET, 27.4, 183
2018-11-20 14:41:47 (3183452216829) STATS - SET, 27.5, 204
2018-11-20 14:41:47 (3183452273029) STATS - SET, 27.6, 175
2018-11-20 14:41:47 (3183452330129) STATS - SET, 27.7, 179
2018-11-20 14:41:47 (3183452395229) STATS - SET, 27.8, 172
2018-11-20 14:41:47 (3183452448729) STATS - SET, 27.9, 171
2018-11-20 14:41:47 (3183452500529) STATS - SET, 28.0, 198
2018-11-20 14:41:47 (3183452554329) STATS - SET, 28.1, 169
2018-11-20 14:41:47 (3183452608329) STATS - SET, 28.2, 141
2018-11-20 14:41:47 (3183452661029) STATS - SET, 28.3, 134
2018-11-20 14:41:47 (3183452714329) STATS - SET, 28.4, 125
2018-11-20 14:41:47 (3183452767629) STATS - SET, 28.5, 128
2018-11-20 14:41:47 (3183452820529) STATS - SET, 28.6, 133
2018-11-20 14:41:47 (3183452874229) STATS - SET, 28.7, 127
2018-11-20 14:41:47 (3183452926329) STATS - SET, 28.8, 172
