2018-11-23 21:03:50 (12262404884001) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-23 21:05:10 (12342977884691) STATS -  5.00, 2775, 2, 1.184091, 4.623557, 6.007181, 0.000000, 6.007181, 0.000000, 0, 13879, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12344308978063) STATS - GET, 16.3, 167
2018-11-23 21:05:11 (12344309071667) STATS - GET, 16.4, 138
2018-11-23 21:05:11 (12344309229572) STATS - GET, 16.5, 151
2018-11-23 21:05:11 (12344309329376) STATS - GET, 16.6, 138
2018-11-23 21:05:11 (12344309424579) STATS - GET, 16.7, 151
2018-11-23 21:05:11 (12344309572584) STATS - GET, 16.8, 165
2018-11-23 21:05:11 (12344309703089) STATS - GET, 16.9, 152
2018-11-23 21:05:11 (12344309806392) STATS - GET, 17.0, 142
2018-11-23 21:05:11 (12344309911896) STATS - GET, 17.1, 143
2018-11-23 21:05:11 (12344310008399) STATS - GET, 17.2, 134
2018-11-23 21:05:11 (12344310104703) STATS - GET, 17.3, 124
2018-11-23 21:05:11 (12344310201606) STATS - GET, 17.4, 162
2018-11-23 21:05:11 (12344310294909) STATS - GET, 17.5, 167
2018-11-23 21:05:11 (12344310433114) STATS - GET, 17.6, 148
2018-11-23 21:05:12 (12344316294318) STATS - GET, 17.7, 135
2018-11-23 21:05:12 (12344316430723) STATS - GET, 17.8, 137
2018-11-23 21:05:12 (12344316527226) STATS - GET, 17.9, 125
2018-11-23 21:05:12 (12344316623930) STATS - GET, 18.0, 114
2018-11-23 21:05:12 (12344316717433) STATS - GET, 18.1, 109
2018-11-23 21:05:12 (12344316809836) STATS - GET, 18.2, 109
2018-11-23 21:05:12 (12344316901239) STATS - GET, 18.3, 114
2018-11-23 21:05:12 (12344317003743) STATS - GET, 18.4, 125
2018-11-23 21:05:12 (12344317097946) STATS - GET, 18.5, 97
2018-11-23 21:05:12 (12344317189250) STATS - GET, 18.6, 117
2018-11-23 21:05:12 (12344317280753) STATS - GET, 18.7, 85
2018-11-23 21:05:12 (12344317380256) STATS - GET, 18.8, 82
2018-11-23 21:05:12 (12344317474059) STATS - GET, 18.9, 75
2018-11-23 21:05:12 (12344317562563) STATS - GET, 19.0, 65
2018-11-23 21:05:12 (12344317652866) STATS - GET, 19.1, 61
2018-11-23 21:05:12 (12344317752269) STATS - GET, 19.2, 52
2018-11-23 21:05:12 (12344317853873) STATS - GET, 19.3, 51
2018-11-23 21:05:12 (12344317945476) STATS - GET, 19.4, 53
2018-11-23 21:05:12 (12344318036079) STATS - GET, 19.5, 38
2018-11-23 21:05:12 (12344318127482) STATS - GET, 19.6, 37
2018-11-23 21:05:12 (12344318218285) STATS - GET, 19.7, 24
2018-11-23 21:05:12 (12344318309689) STATS - GET, 19.8, 29
2018-11-23 21:05:12 (12344318401992) STATS - GET, 19.9, 27
2018-11-23 21:05:12 (12344318493595) STATS - GET, 20.0, 24
2018-11-23 21:05:12 (12344318582998) STATS - GET, 20.1, 21
2018-11-23 21:05:12 (12344318673801) STATS - GET, 20.2, 30
2018-11-23 21:05:12 (12344318764504) STATS - GET, 20.3, 20
2018-11-23 21:05:12 (12344318858108) STATS - GET, 20.4, 19
2018-11-23 21:05:12 (12344318948911) STATS - GET, 20.5, 20
2018-11-23 21:05:12 (12344319043414) STATS - GET, 20.6, 14
2018-11-23 21:05:12 (12344319135317) STATS - GET, 20.7, 20
2018-11-23 21:05:12 (12344319225720) STATS - GET, 20.8, 19
2018-11-23 21:05:12 (12344319317224) STATS - GET, 20.9, 17
2018-11-23 21:05:12 (12344319404727) STATS - GET, 21.0, 16
2018-11-23 21:05:12 (12344319498830) STATS - GET, 21.1, 19
2018-11-23 21:05:12 (12344319866643) STATS - GET, 21.2, 19
2018-11-23 21:05:12 (12344320034449) STATS - GET, 21.3, 15
2018-11-23 21:05:12 (12344320131252) STATS - GET, 21.4, 20
2018-11-23 21:05:12 (12344320225955) STATS - GET, 21.5, 23
2018-11-23 21:05:12 (12344320350360) STATS - GET, 21.6, 26
2018-11-23 21:05:12 (12344326266866) STATS - GET, 21.7, 16
2018-11-23 21:05:12 (12344326363569) STATS - GET, 21.8, 11
2018-11-23 21:05:12 (12344326455172) STATS - GET, 21.9, 11
2018-11-23 21:05:12 (12344326542175) STATS - GET, 22.0, 8
2018-11-23 21:05:12 (12344326631578) STATS - GET, 22.1, 20
2018-11-23 21:05:12 (12344326721682) STATS - GET, 22.2, 15
2018-11-23 21:05:12 (12344326815585) STATS - GET, 22.3, 11
2018-11-23 21:05:12 (12344326906188) STATS - GET, 22.4, 18
2018-11-23 21:05:12 (12344329759287) STATS - GET, 22.5, 12
2018-11-23 21:05:12 (12344329872891) STATS - GET, 22.6, 10
2018-11-23 21:05:12 (12344330002796) STATS - GET, 22.7, 14
2018-11-23 21:05:12 (12344330103299) STATS - GET, 22.8, 11
2018-11-23 21:05:12 (12344330199603) STATS - GET, 22.9, 13
2018-11-23 21:05:12 (12344330292306) STATS - GET, 23.0, 13
2018-11-23 21:05:12 (12344330381609) STATS - GET, 23.1, 17
2018-11-23 21:05:12 (12344330475712) STATS - GET, 23.2, 11
2018-11-23 21:05:12 (12344330574816) STATS - GET, 23.3, 12
2018-11-23 21:05:12 (12344330664719) STATS - GET, 23.4, 13
2018-11-23 21:05:12 (12344330848325) STATS - GET, 23.5, 13
2018-11-23 21:05:12 (12344331035632) STATS - GET, 23.6, 9
2018-11-23 21:05:12 (12344331134335) STATS - GET, 23.7, 3
