2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:37 (15444144765214) STATS - 19.3, 1
2018-10-21 19:29:37 (15444144963520) STATS - 19.4, 0
2018-10-21 19:29:37 (15444151050199) STATS - 19.5, 0
2018-10-21 19:29:37 (15444151255305) STATS - 19.6, 1
2018-10-21 19:29:37 (15444151464111) STATS - 19.7, 0
2018-10-21 19:29:37 (15444151709018) STATS - 19.8, 2
2018-10-21 19:29:37 (15444151875023) STATS - 19.9, 0
2018-10-21 19:29:37 (15444152058528) STATS - 20.0, 0
2018-10-21 19:29:37 (15444152228933) STATS - 20.1, 0
2018-10-21 19:29:37 (15444152393838) STATS - 20.2, 0
2018-10-21 19:29:37 (15444152560743) STATS - 20.3, 0
2018-10-21 19:29:37 (15444152728548) STATS - 20.4, 1
2018-10-21 19:29:37 (15444152922953) STATS - 20.5, 2
2018-10-21 19:29:37 (15444153083358) STATS - 20.6, 1
2018-10-21 19:29:37 (15444153243963) STATS - 20.7, 0
2018-10-21 19:29:37 (15444153403668) STATS - 20.8, 1
2018-10-21 19:29:37 (15444153562572) STATS - 20.9, 0
2018-10-21 19:29:37 (15444153823780) STATS - 21.0, 0
2018-10-21 19:29:37 (15444153983985) STATS - 21.1, 0
2018-10-21 19:29:37 (15444154149589) STATS - 21.2, 0
2018-10-21 19:29:37 (15444154309594) STATS - 21.3, 0
2018-10-21 19:29:37 (15444154468699) STATS - 21.4, 0
2018-10-21 19:29:37 (15444154645104) STATS - 21.5, 0
2018-10-21 19:29:37 (15444154846910) STATS - 21.6, 0
2018-10-21 19:29:37 (15444155008415) STATS - 21.7, 0
2018-10-21 19:29:37 (15444161047592) STATS - 21.8, 0
2018-10-21 19:29:37 (15444161213496) STATS - 21.9, 1
2018-10-21 19:29:37 (15444161371101) STATS - 22.0, 1
2018-10-21 19:29:37 (15444161530306) STATS - 22.1, 0
2018-10-21 19:29:37 (15444161689510) STATS - 22.2, 0
2018-10-21 19:29:37 (15444161888816) STATS - 22.3, 0
2018-10-21 19:29:37 (15444162046221) STATS - 22.4, 0
2018-10-21 19:29:37 (15444162202425) STATS - 22.5, 0
2018-10-21 19:29:37 (15444162358030) STATS - 22.6, 0
2018-10-21 19:29:37 (15444162519335) STATS - 22.7, 0
2018-10-21 19:29:37 (15444162676439) STATS - 22.8, 0
