2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844331738751) STATS - SET, 25.6, 0
2018-11-20 21:30:53 (1844331828253) STATS - SET, 25.7, 0
2018-11-20 21:30:53 (1844331915855) STATS - SET, 25.8, 0
2018-11-20 21:30:53 (1844332022358) STATS - SET, 25.9, 0
2018-11-20 21:30:53 (1844332113460) STATS - SET, 26.0, 0
2018-11-20 21:30:53 (1844332201362) STATS - SET, 26.1, 0
2018-11-20 21:30:53 (1844332290164) STATS - SET, 26.2, 0
2018-11-20 21:30:53 (1844332385766) STATS - SET, 26.3, 0
2018-11-20 21:30:53 (1844332474568) STATS - SET, 26.4, 0
2018-11-20 21:30:53 (1844332561970) STATS - SET, 26.5, 0
2018-11-20 21:30:53 (1844332649571) STATS - SET, 26.6, 0
2018-11-20 21:30:53 (1844332783174) STATS - SET, 26.7, 0
2018-11-20 21:30:53 (1844332873476) STATS - SET, 26.8, 0
2018-11-20 21:30:53 (1844332961778) STATS - SET, 26.9, 1
2018-11-20 21:30:53 (1844333047080) STATS - SET, 27.0, 0
2018-11-20 21:30:53 (1844333133882) STATS - SET, 27.1, 0
2018-11-20 21:30:53 (1844333222384) STATS - SET, 27.2, 0
2018-11-20 21:30:53 (1844333309986) STATS - SET, 27.3, 0
2018-11-20 21:30:53 (1844338755907) STATS - SET, 27.4, 0
2018-11-20 21:30:53 (1844338932611) STATS - SET, 27.5, 1
2018-11-20 21:30:53 (1844339023113) STATS - SET, 27.6, 0
2018-11-20 21:30:53 (1844339109515) STATS - SET, 27.7, 0
2018-11-20 21:30:53 (1844339195217) STATS - SET, 27.8, 0
2018-11-20 21:30:53 (1844339279918) STATS - SET, 27.9, 0
2018-11-20 21:30:53 (1844339362120) STATS - SET, 28.0, 0
2018-11-20 21:30:53 (1844339446222) STATS - SET, 28.1, 0
2018-11-20 21:30:53 (1844339531024) STATS - SET, 28.2, 0
2018-11-20 21:30:53 (1844339615426) STATS - SET, 28.3, 0
2018-11-20 21:30:53 (1844339699928) STATS - SET, 28.4, 0
2018-11-20 21:30:53 (1844339790330) STATS - SET, 28.5, 0
2018-11-20 21:30:53 (1844339874932) STATS - SET, 28.6, 0
2018-11-20 21:30:53 (1844339959034) STATS - SET, 28.7, 0
2018-11-20 21:30:53 (1844340086436) STATS - SET, 28.8, 0
