ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Get MissRatio
0:1,64,16,1,2,2,475.78,33.71,0.00
0:1,64,16,1,3,1,497.64,32.17,0.00
0:1,64,16,1,3,2,481.44,33.24,0.00
0:1,64,16,2,1,1,511.60,32.01,0.00
0:1,64,16,2,1,2,457.78,38.69,0.00
0:1,64,16,2,2,1,490.14,33.42,0.00
0:1,64,16,2,2,2,457.58,40.31,0.00
0:1,64,16,2,3,1,518.14,31.65,0.00
0:1,64,16,2,3,2,475.22,38.35,0.00
0:1,64,16,3,1,1,492.56,32.48,0.00
0:1,64,16,3,1,2,476.48,33.56,0.00
0:1,64,16,3,2,1,494.32,32.34,0.00
0:1,64,16,3,2,2,480.46,33.33,0.00
0:1,64,16,3,3,1,493.66,32.39,0.00
0:1,64,16,3,3,2,486.58,32.89,0.00
0:1,64,32,1,1,1,489.58,66.27,0.00
0:1,64,32,1,1,2,485.34,67.10,0.00
0:1,64,32,1,2,1,477.36,67.35,0.00
0:1,64,32,1,2,2,476.84,69.99,0.00
0:1,64,32,1,3,1,499.64,64.96,0.00
0:1,64,32,1,3,2,486.02,67.15,0.00
0:1,64,32,2,1,1,469.56,68.07,0.00
0:1,64,32,2,1,2,496.02,64.57,0.00
0:1,64,32,2,2,1,476.92,67.15,0.00
0:1,64,32,2,2,2,501.14,63.87,0.00
0:1,64,32,2,3,1,474.22,67.48,0.00
0:1,64,32,2,3,2,509.60,62.79,0.00
0:1,64,32,3,1,1,474.92,67.39,0.00
0:1,64,32,3,1,2,497.26,64.32,0.00
0:1,64,32,3,2,1,477.48,66.93,0.00
0:1,64,32,3,2,2,493.04,64.85,0.00
0:1,64,32,3,3,1,479.72,66.63,0.00
0:1,64,32,3,3,2,501.38,63.73,0.00
0:1,64,64,1,1,1,491.88,132.57,0.00
0:1,64,64,1,1,2,483.48,137.26,0.00
0:1,64,64,1,2,1,479.36,134.15,0.00
0:1,64,64,1,2,2,482.60,140.65,0.00
0:1,64,64,1,3,1,498.12,130.79,0.00
0:1,64,64,1,3,2,484.02,139.66,0.00
0:1,64,64,2,1,1,470.02,136.41,0.00
0:1,64,64,2,1,2,496.50,128.91,0.00
0:1,64,64,2,2,1,474.34,134.80,0.00
0:1,64,64,2,2,2,502.84,127.31,0.00
0:1,64,64,2,3,1,474.50,134.78,0.00
0:1,64,64,2,3,2,505.04,126.66,0.00
0:1,64,64,3,1,1,472.72,135.25,0.00
0:1,64,64,3,1,2,499.92,127.93,0.00
0:1,64,64,3,2,1,470.28,135.93,0.00
0:1,64,64,3,2,2,505.62,126.43,0.00
0:1,64,64,3,3,1,473.54,134.98,0.00
0:1,64,64,3,3,2,503.96,126.90,0.00
1:0,8,1,1,1,1,381.62,2.63,0.00
1:0,8,1,1,1,2,319.94,3.12,0.00
1:0,8,1,1,2,1,378.22,2.67,0.00
1:0,8,1,1,2,2,326.56,3.15,0.00
1:0,8,1,1,3,1,385.16,2.75,0.00
1:0,8,1,1,3,2,327.02,3.36,0.00
1:0,8,1,2,1,1,413.70,2.42,0.00
1:0,8,1,2,1,2,319.64,3.12,0.00
1:0,8,1,2,2,1,399.68,2.51,0.00
1:0,8,1,2,2,2,309.94,3.22,0.00
1:0,8,1,2,3,1,380.76,2.92,0.00
1:0,8,1,2,3,2,297.62,5.14,0.00
1:0,8,1,3,1,1,431.54,2.32,0.00
1:0,8,1,3,1,2,318.60,3.13,0.00
1:0,8,1,3,2,1,407.96,2.46,0.00
1:0,8,1,3,2,2,307.72,3.24,0.00
1:0,8,1,3,3,1,456.18,2.20,0.00
1:0,8,1,3,3,2,343.60,2.90,0.00
1:0,8,4,1,1,1,1269.90,3.15,0.00
1:0,8,4,1,1,2,1041.00,3.97,0.00
1:0,8,4,1,2,1,1205.72,3.32,0.00
1:0,8,4,1,2,2,1015.60,4.03,0.00
1:0,8,4,1,3,1,1310.50,3.05,0.00
1:0,8,4,1,3,2,1108.48,3.75,0.00
1:0,8,4,2,1,1,1259.96,3.17,0.00
1:0,8,4,2,1,2,1151.60,3.47,0.00
1:0,8,4,2,2,1,1218.64,3.28,0.00
1:0,8,4,2,2,2,1090.26,3.67,0.00
1:0,8,4,2,3,1,1265.04,3.23,0.00
1:0,8,4,2,3,2,1114.02,3.63,0.00
1:0,8,4,3,1,1,1391.10,2.87,0.00
1:0,8,4,3,1,2,1103.20,3.62,0.00
1:0,8,4,3,2,1,1302.10,3.07,0.00
1:0,8,4,3,2,2,1059.36,3.77,0.00
1:0,8,4,3,3,1,1426.48,2.80,0.00
1:0,8,4,3,3,2,1157.74,3.45,0.00
1:0,8,8,1,1,1,1513.16,5.32,0.00
1:0,8,8,1,1,2,1288.06,6.40,0.00
1:0,8,8,1,2,1,1465.68,5.73,0.00
1:0,8,8,1,2,2,1360.18,6.62,0.00
1:0,8,8,1,3,1,1428.40,5.79,0.00
1:0,8,8,1,3,2,1298.40,6.45,0.00
1:0,8,8,2,1,1,1429.62,5.60,0.00
1:0,8,8,2,1,2,1461.72,5.47,0.00
1:0,8,8,2,2,1,1335.76,5.99,0.00
1:0,8,8,2,2,2,1379.92,5.80,0.00
1:0,8,8,2,3,1,1489.44,5.37,0.00
1:0,8,8,2,3,2,1557.48,5.14,0.00
1:0,8,8,3,1,1,1453.74,5.50,0.00
1:0,8,8,3,1,2,1376.72,5.81,0.00
1:0,8,8,3,2,1,1391.92,5.75,0.00
1:0,8,8,3,2,2,1438.42,5.56,0.00
1:0,8,8,3,3,1,1546.96,5.17,0.00
1:0,8,8,3,3,2,1393.62,5.74,0.00
1:0,8,16,1,1,1,1528.92,10.60,0.00
1:0,8,16,1,1,2,1654.04,9.90,0.00
1:0,8,16,1,2,1,1479.04,11.26,0.00
1:0,8,16,1,2,2,1606.64,10.22,0.00
1:0,8,16,1,3,1,1370.86,12.21,0.00
1:0,8,16,1,3,2,1511.14,11.27,0.00
1:0,8,16,2,1,1,1374.08,11.69,0.00
1:0,8,16,2,1,2,1689.92,9.47,0.00
1:0,8,16,2,2,1,1367.90,11.74,0.00
1:0,8,16,2,2,2,1689.14,9.47,0.00
1:0,8,16,2,3,1,1395.18,11.51,0.00
1:0,8,16,2,3,2,1672.00,9.57,0.00
1:0,8,16,3,1,1,1413.62,11.32,0.00
1:0,8,16,3,1,2,1608.38,9.95,0.00
1:0,8,16,3,2,1,1420.64,11.27,0.00
1:0,8,16,3,2,2,1638.06,9.77,0.00
1:0,8,16,3,3,1,1442.10,11.10,0.00
1:0,8,16,3,3,2,1630.62,9.82,0.00
1:0,8,32,1,1,1,1527.28,20.97,0.00
1:0,8,32,1,1,2,1709.78,18.74,0.00
1:0,8,32,1,2,1,1530.68,20.92,0.00
1:0,8,32,1,2,2,1719.24,18.64,0.00
1:0,8,32,1,3,1,1542.96,20.75,0.00
1:0,8,32,1,3,2,1727.00,18.56,0.00
1:0,8,32,2,1,1,1488.34,21.52,0.00
1:0,8,32,2,1,2,1687.42,19.04,0.00
1:0,8,32,2,2,1,1493.60,21.51,0.00
1:0,8,32,2,2,2,1699.54,18.92,0.00
1:0,8,32,2,3,1,1476.56,21.98,0.00
1:0,8,32,2,3,2,1678.90,19.33,0.00
1:0,8,32,3,1,1,1429.20,22.41,0.00
1:0,8,32,3,1,2,1812.96,17.67,0.00
1:0,8,32,3,2,1,1428.98,22.42,0.00
1:0,8,32,3,2,2,1825.52,17.56,0.00
1:0,8,32,3,3,1,1449.16,22.11,0.00
1:0,8,32,3,3,2,1845.92,17.36,0.00
1:0,8,64,1,1,1,1556.18,41.49,0.00
1:0,8,64,1,1,2,1675.36,43.99,0.00
1:0,8,64,1,2,1,1550.30,41.78,0.00
1:0,8,64,1,2,2,1664.60,42.63,0.00
